,lower Total_Enrolments,upper Total_Enrolments,Forecast
2026-03-08,0.0,8384310.90439009,0.09775770915764277
2026-03-09,0.0,10326364.668529853,0.2259576375148998
2026-03-10,0.0,16357838.438162696,0.7450210598366609
2026-03-11,0.0,11205769.394877478,0.0811403223063634
2026-03-12,0.0,12280967.466996469,0.07230577589650915
2026-03-13,0.0,12456282.399469133,0.0
2026-03-14,0.0,13605298.794132957,0.0
2026-03-15,0.0,16904461.616264258,0.09866023012429134
2026-03-16,0.0,20795439.804903205,0.22696555799029253
2026-03-17,0.0,32895885.800712287,0.7464557280522497
2026-03-18,0.0,22507908.349751063,0.08202918129649468
2026-03-19,0.0,24638755.164947364,0.07318737156860658
2026-03-20,0.0,24962809.989717025,0.0
2026-03-21,0.0,27236323.20480935,0.0
2026-03-22,0.0,33803492.24052849,0.09956349309811367
2026-03-23,0.0,41540923.92194794,0.2279743071270138
2026-03-24,0.0,65631765.903414235,0.7478915757796138
2026-03-25,0.0,44858649.63096894,0.08291877106161237
2026-03-26,0.0,49054774.12043254,0.07406969204415703
2026-03-27,0.0,49651326.38449564,0.0
2026-03-28,0.0,54122171.3373856,0.0
2026-03-29,0.0,67106106.417411804,0.10046749868915059
2026-03-30,0.0,82390234.9547092,0.22898388560634717
2026-03-31,0.0,130027925.63582344,0.749328603988489
2026-04-01,0.0,88788857.81106497,0.08380909220252278
2026-04-02,0.0,97005092.94127703,0.07495273791905732
2026-04-03,0.0,98099371.8691794,0.0
2026-04-04,0.0,106842859.6662714,0.0
2026-04-05,0.0,132358468.21503425,0.1013722475079445
2026-04-06,0.0,162370826.63220903,0.22999429411013636
2026-04-07,0.0,256000943.97345498,0.7507668136494068
2026-04-08,0.0,174661269.52789843,0.08470014532052612
2026-04-09,0.0,190667109.4258941,0.07583650978969413
2026-04-10,0.0,192668087.63379025,0.0
2026-04-11,0.0,209682788.1363614,0.0
2026-04-12,0.0,259553811.29026273,0.10227774016553971
2026-04-13,0.0,318173022.5407854,0.23100553332078538
2026-04-14,0.0,501201305.3210185,0.752206205733698
2026-04-15,0.0,341694265.46179825,0.08559193101741705
2026-04-16,0.0,372731476.96846724,0.07672100825294455
2026-04-17,0.0,376380270.1757837,0.0
2026-04-18,0.0,409342512.01689714,0.0
2026-04-19,0.0,506341398.4518858,0.10318397727348295
2026-04-20,0.0,620284563.9209872,0.2320176039212597
2026-04-21,0.0,976319268.1367799,0.7536467812134913
2026-04-22,0.0,665150514.6581707,0.08648444989548493
2026-04-23,0.0,725084617.2504824,0.0776062339061763
2026-04-24,0.0,731721803.2976502,0.0
2026-04-25,0.0,795319722.5386629,0.0
2026-04-26,0.0,983149069.1130651,0.10409095944382368
2026-04-27,0.0,1203666422.607093,0.23303050659508587
2026-04-28,0.0,1893176166.1229014,0.7550885410617143
2026-04-29,0.0,1288990042.0200107,0.08737770255751429
2026-04-30,0.0,1404286702.0087554,0.07849218734724832
2026-05-01,0.0,1416333267.8914402,0.0
2026-05-02,0.0,1538586638.4513807,0.0
2026-05-03,0.0,1900841715.4130304,0.10499868728911463
2026-05-04,0.0,2325926825.05162,0.23404424202635266
2026-05-05,0.0,3655887731.348105,0.7565314862520955
2026-05-06,0.0,2487746949.2983284,0.08827168960678526
2026-05-07,0.0,2708778842.4129333,0.07937886917451097
2026-05-08,0.0,2730600525.2229853,0.0
2026-05-09,0.0,2964812647.0698714,0.0
2026-05-10,0.0,3660916687.360375,0.10590716142241209
2026-05-11,0.0,4477384144.109195,0.2350588108997112
2026-05-12,0.0,7033275352.5456295,0.7579756177591632
2026-05-13,0.0,4783515367.979208,0.08916641164707399
2026-05-14,0.0,5205907341.730651,0.08026627998680665
2026-05-15,0.0,5245366435.400538,0.0
2026-05-16,0.0,5692678949.460931,0.0
2026-05-17,0.0,7025826953.499597,0.10681638245727634
2026-05-18,0.0,8588848754.9498,0.23607421390037553
2026-05-19,0.0,13484236235.926584,0.7594209365582469
2026-05-20,0.0,9166656852.255873,0.09006186928265295
2026-05-21,0.0,9971500157.773619,0.08115442038347004
2026-05-22,0.0,10042739033.173302,0.0
2026-05-23,0.0,10894611503.102428,0.0
2026-05-24,0.0,13439960663.752731,0.1077263510077722
2026-05-25,0.0,16423092204.672035,0.23709045171412294
2026-05-26,0.0,25770550307.83469,0.7608674436254783
2026-05-27,0.0,17511369220.563725,0.09095806311829145
2026-05-28,0.0,19040842924.317345,0.08204329096432857
2026-05-29,0.0,19169272765.37519,0.0
2026-05-30,0.0,20787340868.893433,0.0
